staff_id,snapshot_date,calculated_swu_total,burnout_risk_score,risk_tier
UTB-FAC-2026-075,2026-09-10,37.3,79.03,HIGH
UTB-FAC-2026-076,2026-09-10,23.8,39.29,LOW
UTB-FAC-2026-077,2026-09-10,30.22,68.6,MODERATE
UTB-FAC-2026-078,2026-09-10,37.87,98.0,HIGH
UTB-FAC-2026-079,2026-09-10,29.55,54.47,MODERATE
UTB-FAC-2026-080,2026-09-10,35.26,98.0,HIGH
UTB-FAC-2026-081,2026-09-10,55.95,98.0,HIGH
UTB-FAC-2026-082,2026-09-10,46.2,81.21,HIGH
UTB-FAC-2026-083,2026-09-10,44.11,98.0,HIGH
UTB-FAC-2026-084,2026-09-10,35.0,58.02,MODERATE
UTB-FAC-2026-085,2026-09-10,37.8,67.32,MODERATE
UTB-FAC-2026-086,2026-09-10,29.71,61.4,MODERATE
UTB-FAC-2026-087,2026-09-10,43.42,90.01,HIGH
UTB-FAC-2026-088,2026-09-10,34.76,74.15,MODERATE
UTB-FAC-2026-089,2026-09-10,26.18,55.64,MODERATE
UTB-FAC-2026-090,2026-09-10,49.3,98.0,HIGH
UTB-FAC-2026-091,2026-09-10,33.18,70.71,MODERATE
UTB-FAC-2026-092,2026-09-10,33.06,76.7,HIGH
UTB-FAC-2026-093,2026-09-10,38.75,80.19,HIGH
UTB-FAC-2026-094,2026-09-10,27.61,53.89,MODERATE
UTB-FAC-2026-095,2026-09-10,23.24,48.26,LOW
UTB-FAC-2026-096,2026-09-10,50.88,90.1,HIGH
UTB-FAC-2026-097,2026-09-10,29.22,75.27,HIGH
UTB-FAC-2026-098,2026-09-10,25.56,62.02,MODERATE
UTB-FAC-2026-099,2026-09-10,22.9,69.94,MODERATE
UTB-FAC-2026-100,2026-09-10,25.52,63.72,MODERATE
UTB-FAC-2026-101,2026-09-10,32.39,65.25,MODERATE
UTB-FAC-2026-102,2026-09-10,36.25,68.83,MODERATE
UTB-FAC-2026-103,2026-09-10,33.3,76.5,HIGH
UTB-FAC-2026-104,2026-09-10,45.76,69.91,MODERATE
UTB-FAC-2026-105,2026-09-10,42.28,89.08,HIGH
UTB-FAC-2026-106,2026-09-10,38.68,79.42,HIGH
UTB-FAC-2026-107,2026-09-10,33.7,69.69,MODERATE
UTB-FAC-2026-108,2026-09-10,25.46,59.25,MODERATE
UTB-FAC-2026-109,2026-09-10,24.19,49.75,LOW
UTB-FAC-2026-110,2026-09-10,44.04,93.65,HIGH
UTB-FAC-2026-111,2026-09-10,29.79,72.23,MODERATE
UTB-FAC-2026-112,2026-09-10,35.01,98.0,HIGH
UTB-FAC-2026-113,2026-09-10,27.69,69.76,MODERATE
UTB-FAC-2026-114,2026-09-10,38.38,93.01,HIGH
UTB-FAC-2026-115,2026-09-10,27.3,64.78,MODERATE
UTB-FAC-2026-116,2026-09-10,32.71,85.79,HIGH
UTB-FAC-2026-117,2026-09-10,36.14,89.3,HIGH
UTB-FAC-2026-118,2026-09-10,32.54,74.48,MODERATE
UTB-FAC-2026-119,2026-09-10,34.84,84.08,HIGH
UTB-FAC-2026-120,2026-09-10,43.9,79.23,HIGH
