log_id,staff_id,semester_week,assigned_teaching_hours_week,total_students_enrolled,module_preparation_count,assessment_grading_backlog,committee_admin_hours_week,current_supervised_students
LOG-2026-0042,UTB-FAC-2026-042,8,7.0,102,2,47,2.9,6
LOG-2026-0043,UTB-FAC-2026-043,9,13.3,282,2,140,2.4,3
LOG-2026-0044,UTB-FAC-2026-044,10,15.4,108,4,16,1.0,5
LOG-2026-0045,UTB-FAC-2026-045,14,31.7,140,1,40,1.2,4
LOG-2026-0046,UTB-FAC-2026-046,5,6.2,162,3,69,3.2,1
LOG-2026-0047,UTB-FAC-2026-047,5,18.5,194,2,79,1.6,2
LOG-2026-0048,UTB-FAC-2026-048,5,18.6,167,4,53,3.4,1
LOG-2026-0049,UTB-FAC-2026-049,7,14.8,209,2,71,1.7,2
LOG-2026-0050,UTB-FAC-2026-050,9,14.0,146,3,39,1.1,7
LOG-2026-0051,UTB-FAC-2026-051,1,32.4,208,2,48,2.8,2
LOG-2026-0052,UTB-FAC-2026-052,14,24.3,140,3,18,6.6,5
LOG-2026-0053,UTB-FAC-2026-053,2,8.4,127,1,41,1.1,2
LOG-2026-0054,UTB-FAC-2026-054,12,15.0,168,4,73,1.8,4
LOG-2026-0055,UTB-FAC-2026-055,15,14.3,142,4,23,6.6,1
LOG-2026-0056,UTB-FAC-2026-056,2,4.9,127,2,60,2.1,2
LOG-2026-0057,UTB-FAC-2026-057,8,8.4,207,3,95,3.7,1
LOG-2026-0058,UTB-FAC-2026-058,11,20.6,222,3,93,3.8,3
LOG-2026-0059,UTB-FAC-2026-059,6,14.9,170,4,54,6.3,10
LOG-2026-0060,UTB-FAC-2026-060,10,15.1,218,4,26,3.0,5
LOG-2026-0061,UTB-FAC-2026-061,13,11.2,143,1,37,3.1,8
LOG-2026-0062,UTB-FAC-2026-062,15,14.4,191,1,24,2.4,2
LOG-2026-0063,UTB-FAC-2026-063,15,10.8,156,3,71,1.5,4
LOG-2026-0064,UTB-FAC-2026-064,2,19.3,238,2,34,1.2,2
LOG-2026-0065,UTB-FAC-2026-065,2,18.3,135,2,38,1.2,1
LOG-2026-0066,UTB-FAC-2026-066,6,21.1,152,1,18,1.4,2
LOG-2026-0067,UTB-FAC-2026-067,13,19.3,249,3,61,5.6,6
LOG-2026-0068,UTB-FAC-2026-068,4,8.3,232,4,42,2.4,5
LOG-2026-0069,UTB-FAC-2026-069,15,25.9,115,2,27,8.0,1
LOG-2026-0070,UTB-FAC-2026-070,10,9.5,201,1,26,3.6,12
LOG-2026-0071,UTB-FAC-2026-071,2,17.6,247,4,49,6.1,5
LOG-2026-0072,UTB-FAC-2026-072,8,22.5,206,3,80,1.4,5
LOG-2026-0073,UTB-FAC-2026-073,8,16.7,222,3,72,1.3,1
LOG-2026-0074,UTB-FAC-2026-074,14,8.3,288,1,95,1.2,6
LOG-2026-0075,UTB-FAC-2026-075,5,23.9,140,2,44,1.0,2
LOG-2026-0076,UTB-FAC-2026-076,14,13.0,60,2,14,4.0,1
LOG-2026-0077,UTB-FAC-2026-077,12,10.2,177,1,96,1.4,4
LOG-2026-0078,UTB-FAC-2026-078,4,17.9,140,4,21,2.9,9
LOG-2026-0079,UTB-FAC-2026-079,13,9.4,113,4,23,4.0,7
LOG-2026-0080,UTB-FAC-2026-080,2,11.2,163,4,28,6.7,9
LOG-2026-0081,UTB-FAC-2026-081,6,23.9,271,1,141,8.0,4
LOG-2026-0082,UTB-FAC-2026-082,14,22.2,258,2,104,3.0,2
LOG-2026-0083,UTB-FAC-2026-083,6,26.3,138,2,59,1.2,6
LOG-2026-0084,UTB-FAC-2026-084,12,14.3,150,3,32,8.0,4
LOG-2026-0085,UTB-FAC-2026-085,13,22.2,145,2,48,3.0,2
LOG-2026-0086,UTB-FAC-2026-086,3,14.2,187,1,77,1.2,1
LOG-2026-0087,UTB-FAC-2026-087,7,20.6,173,3,76,2.4,4
LOG-2026-0088,UTB-FAC-2026-088,12,6.6,300,3,98,6.2,2
LOG-2026-0089,UTB-FAC-2026-089,4,6.3,145,2,74,1.6,5
LOG-2026-0090,UTB-FAC-2026-090,2,23.3,226,1,96,7.0,7
LOG-2026-0091,UTB-FAC-2026-091,10,17.4,162,2,36,6.1,1
LOG-2026-0092,UTB-FAC-2026-092,4,8.3,199,2,106,1.7,5
LOG-2026-0093,UTB-FAC-2026-093,5,21.8,137,1,73,2.5,3
LOG-2026-0094,UTB-FAC-2026-094,10,8.4,195,3,59,1.7,3
LOG-2026-0095,UTB-FAC-2026-095,12,10.6,211,1,28,4.3,5
LOG-2026-0096,UTB-FAC-2026-096,12,26.9,174,3,64,6.1,4
LOG-2026-0097,UTB-FAC-2026-097,11,12.4,146,1,50,7.9,1
LOG-2026-0098,UTB-FAC-2026-098,7,10.9,147,1,24,3.2,12
LOG-2026-0099,UTB-FAC-2026-099,10,12.3,60,2,10,2.0,5
LOG-2026-0100,UTB-FAC-2026-100,9,6.3,210,2,56,2.9,7
LOG-2026-0101,UTB-FAC-2026-101,16,14.4,187,1,37,4.3,13
LOG-2026-0102,UTB-FAC-2026-102,16,20.1,106,4,29,1.0,2
LOG-2026-0103,UTB-FAC-2026-103,1,15.0,190,3,32,5.0,4
LOG-2026-0104,UTB-FAC-2026-104,1,22.3,188,3,76,3.2,4
LOG-2026-0105,UTB-FAC-2026-105,2,18.3,199,3,90,3.1,1
LOG-2026-0106,UTB-FAC-2026-106,11,14.2,237,2,96,5.1,2
LOG-2026-0107,UTB-FAC-2026-107,13,12.7,262,3,44,3.0,9
LOG-2026-0108,UTB-FAC-2026-108,5,8.5,93,2,38,2.2,9
LOG-2026-0109,UTB-FAC-2026-109,1,13.8,100,1,15,3.3,6
LOG-2026-0110,UTB-FAC-2026-110,14,11.7,315,2,154,2.8,4
LOG-2026-0111,UTB-FAC-2026-111,5,19.2,109,1,35,2.3,2
LOG-2026-0112,UTB-FAC-2026-112,12,13.9,196,1,101,1.2,5
LOG-2026-0113,UTB-FAC-2026-113,13,10.2,163,2,37,1.8,11
LOG-2026-0114,UTB-FAC-2026-114,13,14.6,263,2,100,4.1,1
LOG-2026-0115,UTB-FAC-2026-115,13,9.9,166,1,68,1.5,7
LOG-2026-0116,UTB-FAC-2026-116,15,14.8,123,1,65,2.7,7
LOG-2026-0117,UTB-FAC-2026-117,6,11.1,183,2,96,3.3,6
LOG-2026-0118,UTB-FAC-2026-118,5,14.0,204,1,78,2.3,5
LOG-2026-0119,UTB-FAC-2026-119,10,14.1,225,1,102,1.8,3
LOG-2026-0120,UTB-FAC-2026-120,4,30.9,130,1,50,2.5,2
